subject,experiment,task_type,trial_number,target_pair_type,target_pair_condition,target_triad_index,response_correct,response_time
1,3a,speeded_recognition,1,BC,intermixed,5,correct,2081
1,3a,speeded_recognition,2,foil,intermixed,N/A,correct,2455
1,3a,speeded_recognition,3,BC,blocked,2,correct,1644
1,3a,speeded_recognition,4,BC,intermixed,6,correct,1191
1,3a,speeded_recognition,5,AC,blocked,1,correct,1456
1,3a,speeded_recognition,6,AB,intermixed,5,correct,1183
1,3a,speeded_recognition,7,AC,blocked,3,correct,1862
1,3a,speeded_recognition,8,AB,intermixed,6,correct,1599
1,3a,speeded_recognition,9,AC,blocked,2,correct,1349
1,3a,speeded_recognition,10,AC,intermixed,6,incorrect,1816
1,3a,speeded_recognition,11,AB,blocked,3,correct,1678
1,3a,speeded_recognition,12,foil,blocked,N/A,correct,2215
1,3a,speeded_recognition,13,AC,intermixed,4,correct,2151
1,3a,speeded_recognition,14,foil,intermixed,N/A,correct,1713
1,3a,speeded_recognition,15,foil,blocked,N/A,incorrect,2455
1,3a,speeded_recognition,16,BC,blocked,3,correct,2366
1,3a,speeded_recognition,17,BC,intermixed,4,correct,2472
1,3a,speeded_recognition,18,AC,blocked,3,correct,2506
1,3a,speeded_recognition,19,AC,intermixed,5,incorrect,2191
1,3a,speeded_recognition,20,BC,blocked,2,incorrect,2336
1,3a,speeded_recognition,21,foil,intermixed,N/A,incorrect,2895
1,3a,speeded_recognition,22,foil,blocked,N/A,correct,3238
1,3a,speeded_recognition,23,AC,intermixed,4,incorrect,1760
1,3a,speeded_recognition,24,BC,blocked,1,correct,2353
1,3a,speeded_recognition,25,BC,intermixed,5,correct,2105
1,3a,speeded_recognition,26,AC,blocked,1,correct,1861
1,3a,speeded_recognition,27,foil,intermixed,N/A,incorrect,2729
1,3a,speeded_recognition,28,AB,intermixed,5,correct,2247
1,3a,speeded_recognition,29,foil,blocked,N/A,correct,2151
1,3a,speeded_recognition,30,foil,intermixed,N/A,incorrect,1959
1,3a,speeded_recognition,31,AC,intermixed,5,incorrect,1645
1,3a,speeded_recognition,32,AB,blocked,3,correct,2053
1,3a,speeded_recognition,33,AB,intermixed,4,correct,2199
1,3a,speeded_recognition,34,AB,blocked,1,correct,3047
1,3a,speeded_recognition,35,foil,intermixed,N/A,correct,2452
1,3a,speeded_recognition,36,foil,blocked,N/A,incorrect,1968
1,3a,speeded_recognition,37,BC,intermixed,4,correct,2646
1,3a,speeded_recognition,38,AB,blocked,2,correct,2368
1,3a,speeded_recognition,39,AC,intermixed,6,correct,2806
1,3a,speeded_recognition,40,BC,blocked,3,incorrect,2542
1,3a,speeded_recognition,41,AB,intermixed,6,correct,3002
1,3a,speeded_recognition,42,AB,blocked,2,incorrect,2944
1,3a,speeded_recognition,43,foil,blocked,N/A,incorrect,2126
1,3a,speeded_recognition,44,AC,blocked,2,correct,2158
1,3a,speeded_recognition,45,BC,intermixed,6,correct,2152
1,3a,speeded_recognition,46,BC,blocked,1,correct,2608
1,3a,speeded_recognition,47,AB,intermixed,4,correct,2526
1,3a,speeded_recognition,48,AB,blocked,1,correct,2151
1,3a,explicit_inference,1,AC,blocked,1,correct,4826
1,3a,explicit_inference,2,AC,blocked,3,correct,2597
1,3a,explicit_inference,3,AC,intermixed,5,incorrect,2258
1,3a,explicit_inference,4,AC,intermixed,4,incorrect,2837
1,3a,explicit_inference,5,AC,blocked,2,incorrect,2178
1,3a,explicit_inference,6,AC,intermixed,6,correct,2396
1,3a,explicit_inference,7,AC,blocked,3,correct,2052
1,3a,explicit_inference,8,AC,intermixed,4,incorrect,1619
1,3a,explicit_inference,9,AC,blocked,2,incorrect,4101
1,3a,explicit_inference,10,AC,intermixed,6,incorrect,4045
1,3a,explicit_inference,11,AC,intermixed,5,incorrect,1709
1,3a,explicit_inference,12,AC,blocked,1,correct,2966
2,3a,speeded_recognition,1,AB,intermixed,5,correct,1495
2,3a,speeded_recognition,2,BC,blocked,1,correct,1361
2,3a,speeded_recognition,3,foil,blocked,N/A,correct,1294
2,3a,speeded_recognition,4,AB,intermixed,6,correct,1304
2,3a,speeded_recognition,5,foil,blocked,N/A,correct,1102
2,3a,speeded_recognition,6,BC,blocked,3,correct,1268
2,3a,speeded_recognition,7,foil,blocked,N/A,correct,1596
2,3a,speeded_recognition,8,BC,intermixed,5,correct,1190
2,3a,speeded_recognition,9,AC,blocked,2,incorrect,1373
2,3a,speeded_recognition,10,BC,intermixed,4,correct,1338
2,3a,speeded_recognition,11,BC,blocked,2,correct,1073
2,3a,speeded_recognition,12,AC,intermixed,4,correct,1542
2,3a,speeded_recognition,13,foil,blocked,N/A,correct,1176
2,3a,speeded_recognition,14,AC,intermixed,5,correct,1343
2,3a,speeded_recognition,15,AB,blocked,1,correct,1195
2,3a,speeded_recognition,16,foil,blocked,N/A,correct,1487
2,3a,speeded_recognition,17,foil,intermixed,N/A,incorrect,1079
2,3a,speeded_recognition,18,AC,blocked,1,correct,1414
2,3a,speeded_recognition,19,AC,intermixed,6,incorrect,1025
2,3a,speeded_recognition,20,BC,blocked,3,correct,1148
2,3a,speeded_recognition,21,foil,intermixed,N/A,correct,1360
2,3a,speeded_recognition,22,BC,blocked,2,correct,1059
2,3a,speeded_recognition,23,AC,intermixed,4,incorrect,1539
2,3a,speeded_recognition,24,AC,blocked,1,correct,969
2,3a,speeded_recognition,25,AB,intermixed,4,correct,1193
