subject,experiment,task_type,trial_number,target_pair_type,target_pair_condition,target_triad_index,response_correct,response_time
1,1b,speeded_recognition,1,BC,intermixed,4,correct,1228
1,1b,speeded_recognition,2,AB,blocked,1,correct,1157
1,1b,speeded_recognition,3,AB,intermixed,5,correct,1278
1,1b,speeded_recognition,4,AC,blocked,2,correct,1431
1,1b,speeded_recognition,5,AC,intermixed,5,correct,1878
1,1b,speeded_recognition,6,AC,blocked,2,correct,1636
1,1b,speeded_recognition,7,AC,intermixed,4,correct,1324
1,1b,speeded_recognition,8,foil,intermixed,N/A,correct,1277
1,1b,speeded_recognition,9,AC,blocked,3,correct,1049
1,1b,speeded_recognition,10,foil,intermixed,N/A,correct,971
1,1b,speeded_recognition,11,AC,blocked,3,correct,1527
1,1b,speeded_recognition,12,foil,intermixed,N/A,correct,1130
1,1b,speeded_recognition,13,BC,intermixed,4,correct,1073
1,1b,speeded_recognition,14,AB,blocked,3,correct,1436
1,1b,speeded_recognition,15,AB,intermixed,4,correct,1479
1,1b,speeded_recognition,16,BC,blocked,2,correct,1168
1,1b,speeded_recognition,17,AB,intermixed,6,correct,1388
1,1b,speeded_recognition,18,AB,blocked,1,correct,927
1,1b,speeded_recognition,19,foil,blocked,N/A,correct,1465
1,1b,speeded_recognition,20,foil,blocked,N/A,correct,1136
1,1b,speeded_recognition,21,AB,blocked,2,correct,1243
1,1b,speeded_recognition,22,foil,blocked,N/A,correct,1208
1,1b,speeded_recognition,23,AC,intermixed,6,correct,1348
1,1b,speeded_recognition,24,BC,blocked,1,correct,1327
1,1b,speeded_recognition,25,BC,intermixed,5,correct,808
1,1b,speeded_recognition,26,foil,blocked,N/A,correct,908
1,1b,speeded_recognition,27,BC,blocked,1,correct,728
1,1b,speeded_recognition,28,AB,intermixed,5,correct,995
1,1b,speeded_recognition,29,AB,blocked,3,correct,1159
1,1b,speeded_recognition,30,AB,intermixed,6,correct,1329
1,1b,speeded_recognition,31,AC,blocked,1,correct,1175
1,1b,speeded_recognition,32,AC,intermixed,6,correct,1291
1,1b,speeded_recognition,33,AB,blocked,2,correct,956
1,1b,speeded_recognition,34,AC,intermixed,4,correct,1123
1,1b,speeded_recognition,35,BC,blocked,3,correct,1378
