,itl-blk,itl-blk(foils)
0,-0.12698823696754322,-0.12697470571750502
1,-0.30415492149296447,-0.23716304733707125
2,-0.26412117170166666,-0.0575078750956571
3,0.0010824161506985397,-0.02064162590184976
4,-0.29969884084478066,-0.23471829855560666
5,-0.38790291377133346,-0.22992831076963915
6,-0.13511303034893732,0.021363524751967622
7,-0.2020035612766667,-0.13589942326255636
8,-0.13390482811243776,-0.065469012885741
9,-0.12480154494098833,0.07931421475254388
10,-0.4635563837920067,-0.32646121933240874
11,-0.45193510248333335,-0.40309118929200427
12,-0.19730680094832692,-0.09787551211677942
13,-0.30221776126510336,-0.18663268301950262
14,-0.2985915837458998,-0.21617334122298854
15,-0.4591344339100041,-0.24765036688737685
16,-0.35625292720443025,-0.3566066065959019
17,-0.2784081796607421,-0.2027446963405281
18,-0.1845775957531833,-0.06699805428349298
19,-0.4265303535621667,-0.3480826565063184
20,-0.290720777917762,-0.3448871514986794
21,-0.1421938178804466,0.012370761387787747
22,-0.4633906914046733,-0.3080162676970883
23,-0.48227175445559156,-0.4823898067498967
24,-0.2737171047165143,-0.19426831905289105
25,-0.14647023958619618,0.009912067837510335
26,-0.15051397070489997,-0.010102843144605272
27,-0.3054437739908833,-0.21636917393296107
28,-0.43286884335139997,-0.43252396009326716
29,-0.32454470697945004,-0.3260157156054661
30,-0.2979424474617758,-0.29884141244198736
31,-0.14265033146479897,-0.1426469283390565
32,-0.16819048886403332,-0.08928044055228787
33,-0.06399566047568206,-0.06562108319114623
34,-0.36787167232307666,-0.25931432318484393
35,-0.40648453679666674,-0.25831105206480887
36,-0.3957292340155897,-0.2893942981335327
37,-0.303719452644,-0.16056314229121224
38,-0.21024118392333335,-0.1166248578135611
39,0.013512100873319832,-0.0672017723196932
40,-0.2506395430616633,-0.10591759046840393
41,-0.31186814631399995,-0.15864769078552063
42,-0.2810721161106611,-0.17621643122848502
43,-0.5442640877933334,-0.47207167837010844
44,-0.4573895622233333,-0.3783929508039864
45,-0.4551007399419749,-0.3693387843334945
46,-0.42379366920733336,-0.35824498523986964
47,-0.1990105192122158,-0.1652489909831581
48,-0.15873491093476344,-0.1783140929300709
49,-0.447299798018,-0.42310660183111154
50,-0.4789972982730104,-0.5072228825559203
51,-0.3028218278376834,-0.29677323406170986
52,-0.30079210891653335,-0.22274988118066402
53,-0.30486093222390037,-0.22795850807614132
54,-0.014635348091716627,-0.013304418848317734
55,-0.4103141413471794,-0.37782338079564465
56,-0.3032607469856927,-0.21957142559513926
57,-0.0361548406190835,-0.036150015702671505
58,-0.29799719986564865,-0.29841660996785435
59,-0.34402981087845064,-0.28218117879489935
60,-0.24102713734166664,-0.23303598053261643
61,-0.0019883738317789668,0.047879700451586585
62,-0.3042162419005667,-0.22466560465237212
63,-0.271149583768013,-0.11769791669432642
64,-0.3743076538349944,-0.37416381445836344
65,-0.38628911893221524,-0.30790974115073083
